Ref Des,Manufacturer,Part Number,Part Type,Part Description,Activation Energy (Ea),Applied Current (A),Applied Duty Cycle (%),Applied Freq (MHz),Applied Power (W),Applied Ripple (mA),Applied Voltage (V),Ball Chan Width,Ball Count,Ball Diameter,Ball Height,Ball Island Cols,Ball Island Rows,Ball Material,Ball Modeling,Ball Package Diameter,Ball Pad Diameter,Ball Pattern,Ball Perimeter Cols,Ball Perimeter Rows,Ball Pitch,Ball Units,Board Side,Capacitance (uF),Confidence Bounds (%),Corner Face,Corner Radius,Corner Shape,Die Length,Die Material,Die Thickness,Die Units,Die Width,Documents,Failure Class,Failure Mechanism,Flag Length,Flag Thickness,Flag Units,Flag Width,Frequency Exponent,Input Data Type,Laminate Thickness,Lead Bend (degrees),Lead Bend Package Radius,Lead Bend Radius,Lead Count,Lead Foot Length,Lead Frame Percentage,Lead Geometry,Lead Height,Lead Hole Diameter,Lead Layout,Lead Long Count,Lead Material,Lead Pitch,Lead Short Count,Lead Shoulder,Lead Standoff,Lead Stiffness,Lead Thickness,Lead Units,Lead Width,Lifetime,Location Units,Material,Max Rated Current (A),Max Rated Power (W),Max Rated Temp (C),Max Rated Voltage (V),Max Storage Temp (C),Min Rated Temp (C),Min Storage Temp (C),Mirrored,Model Leads,Model Part,Notes,Number of Devices,Number of Failures,Overmold Material,Overmold Thickness,Package Length,Package Mount,Package Name,Package Thickness,Package Type,Package Units,Package Width,Pad Length,Pad Pitch,Pad Units,Pad Width,Part Technology,Part Temp Rise,Process Node,Rated Ripple (mA),Reliability Data Source,Reliability Metric,Reliability Metric Units,Resistance (ohm),Ripple Temp Rise,Rjb (C/W),Rjc (C/W),Rotation,Sink Length,Sink Thickness,Sink Width,Solder Material,Solder Model,Solder Thickness,Source of AF,Stencil Thickness,Stencil Units,Subcircuit Name(s),Test Duration (hrs),Test Duty Cycle (%),Test Frequency (MHz),Test Method,Test Temperature (C),Test Voltage (V),Thermal Units,Voltage Exponent,Weight (gram),X Coordinate,X Offset,Y Coordinate,Y Offset
C30,,EEV0TA1H470P,CAPACITOR,"Cap,  47uF, 50V,  ALUM, ELEC RADIAL, SM SIZE G",,,,,,,,,,,,,,,DISABLED,,,,,,,in,TOP,,,TOP_BOTTOM,0,SQUARE,6.1074,SILICON,0.185,mm,5.2499,,"CAP, FIXED, PLASTIC",,,,in,,,,,0.0,,,2,0.6,,THRUHOLE,0.8008,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,259.93,0.15,mm,1.4,,in,EPOXYENCAPSULANT,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.4809,SMT,ADS_SM_CT_BULKCAP-G,0.401570,OTHER,in,0.41338,,,in,,,DEFAULT,,,,,,,,,,0,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,2.355e+0,-1.815,0,1.923,0
J1,,TST-125-01-G-D,JACK,"Header, 2X25, Shded, ST .100 RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,in,TOP,,,TOP_BOTTOM,0,SQUARE,35.56,SILICON,0.185,mm,4.7625,,"CONN, RECTANGULAR",,,,in,,,,,0.0,,,50,0.6,,THRUHOLE,0.7825,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,278.59,0.15,mm,1.4,,in,EPOXYENCAPSULANT,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,2.8000000000000003,TH,ADS_WALCON_P100_VH_WP325_50,0.365000,OTHER,in,0.375,,,in,,,DEFAULT,,,,,,,,,,90,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.130e+1,-3.55,0,-2.220446049250313E-16,0
Q1,,PZT3904,TRANSISTOR,"XSTR,GEN PURP,NPN,SOT-223,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,TOP,,,TOP_BOTTOM,0,SQUARE,4.875,SILICON,0.185,MM,2.625,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.205,0.205,4,0.75,65,GULLWING,0.86,1.0170679286326199,SINGLE_1,0,COPPER,2.3,0,1,0.06,911.38,0.3,mm,0.76,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.5,SMT,SOT-223 (TO-261AA),1.6,SOT,mm,3.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,270,1,0,0,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,6.916e-2,-0.75,0,-1.65,0
Q2,,PZT3904,TRANSISTOR,"XSTR,GEN PURP,NPN,SOT-223,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,TOP,,,TOP_BOTTOM,0,SQUARE,4.875,SILICON,0.185,MM,2.625,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.205,0.205,4,0.75,65,GULLWING,0.86,1.0170679286326199,SINGLE_1,0,COPPER,2.3,0,1,0.06,911.38,0.3,mm,0.76,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.5,SMT,SOT-223 (TO-261AA),1.6,SOT,mm,3.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,270,1,0,0,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,6.916e-2,-0.25,0,-1.65,0
Q3,,PZT3904,TRANSISTOR,"XSTR,GEN PURP,NPN,SOT-223,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,TOP,,,TOP_BOTTOM,0,SQUARE,4.875,SILICON,0.185,MM,2.625,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.205,0.205,4,0.75,65,GULLWING,0.86,1.0170679286326199,SINGLE_1,0,COPPER,2.3,0,1,0.06,911.38,0.3,mm,0.76,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.5,SMT,SOT-223 (TO-261AA),1.6,SOT,mm,3.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,90,1,0,0,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,6.916e-2,0.75,0,-1.65,0
Q4,,PZT3904,TRANSISTOR,"XSTR,GEN PURP,NPN,SOT-223,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,TOP,,,TOP_BOTTOM,0,SQUARE,4.875,SILICON,0.185,MM,2.625,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.205,0.205,4,0.75,65,GULLWING,0.86,1.0170679286326199,SINGLE_1,0,COPPER,2.3,0,1,0.06,911.38,0.3,mm,0.76,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.5,SMT,SOT-223 (TO-261AA),1.6,SOT,mm,3.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,90,1,0,0,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,6.916e-2,0.25,0,-1.65,0
Q5,,PZT3904,TRANSISTOR,"XSTR,GEN PURP,NPN,SOT-223,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,TOP,,,TOP_BOTTOM,0,SQUARE,4.875,SILICON,0.185,MM,2.625,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.205,0.205,4,0.75,65,GULLWING,0.86,1.0170679286326199,SINGLE_1,0,COPPER,2.3,0,1,0.06,911.38,0.3,mm,0.76,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.5,SMT,SOT-223 (TO-261AA),1.6,SOT,mm,3.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,270,1,0,0,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,6.916e-2,-0.75,0,1.65,0
Q6,,PZT3904,TRANSISTOR,"XSTR,GEN PURP,NPN,SOT-223,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,TOP,,,TOP_BOTTOM,0,SQUARE,4.875,SILICON,0.185,MM,2.625,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.205,0.205,4,0.75,65,GULLWING,0.86,1.0170679286326199,SINGLE_1,0,COPPER,2.3,0,1,0.06,911.38,0.3,mm,0.76,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.5,SMT,SOT-223 (TO-261AA),1.6,SOT,mm,3.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,270,1,0,0,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,6.916e-2,-0.25,0,1.65,0
Q7,,PZT3904,TRANSISTOR,"XSTR,GEN PURP,NPN,SOT-223,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,TOP,,,TOP_BOTTOM,0,SQUARE,4.875,SILICON,0.185,MM,2.625,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.205,0.205,4,0.75,65,GULLWING,0.86,1.0170679286326199,SINGLE_1,0,COPPER,2.3,0,1,0.06,911.38,0.3,mm,0.76,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.5,SMT,SOT-223 (TO-261AA),1.6,SOT,mm,3.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,90,1,0,0,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,6.916e-2,0.75,0,1.65,0
Q8,,PZT3904,TRANSISTOR,"XSTR,GEN PURP,NPN,SOT-223,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,TOP,,,TOP_BOTTOM,0,SQUARE,4.875,SILICON,0.185,MM,2.625,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.205,0.205,4,0.75,65,GULLWING,0.86,1.0170679286326199,SINGLE_1,0,COPPER,2.3,0,1,0.06,911.38,0.3,mm,0.76,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.5,SMT,SOT-223 (TO-261AA),1.6,SOT,mm,3.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,90,1,0,0,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,6.916e-2,0.25,0,1.65,0
Q9,,IRLR3410PBF,TRANSISTOR,"MOSFET,PWR,100V,17A,.105 OHM DPAK,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,BOTTOM,,,TOP_BOTTOM,0,SQUARE,4.5,SILICON,0.185,MM,4.875,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.145,0.145,2,1.5,65,GULLWING,1.295,1.2146644765635584,SINGLE_SINK,0,COPPER,4.57,0,1.25,0.15,2981.18,0.67,mm,0.762,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.0,SMT,DPAK (TO-252AA),2.29,DPAK,mm,6.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,270,1.08,0.67,5.2,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.697e-1,-1.338,0,1.671,0
Q10,,IRLR3410PBF,TRANSISTOR,"MOSFET,PWR,100V,17A,.105 OHM DPAK,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,BOTTOM,,,TOP_BOTTOM,0,SQUARE,4.5,SILICON,0.185,MM,4.875,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.145,0.145,2,1.5,65,GULLWING,1.295,1.2146644765635584,SINGLE_SINK,0,COPPER,4.57,0,1.25,0.15,2981.18,0.67,mm,0.762,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.0,SMT,DPAK (TO-252AA),2.29,DPAK,mm,6.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,90,1.08,0.67,5.2,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.697e-1,1.264,0,-1.645,0
Q11,,IRLR3410PBF,TRANSISTOR,"MOSFET,PWR,100V,17A,.105 OHM DPAK,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,BOTTOM,,,TOP_BOTTOM,0,SQUARE,4.5,SILICON,0.185,MM,4.875,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.145,0.145,2,1.5,65,GULLWING,1.295,1.2146644765635584,SINGLE_SINK,0,COPPER,4.57,0,1.25,0.15,2981.18,0.67,mm,0.762,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.0,SMT,DPAK (TO-252AA),2.29,DPAK,mm,6.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,270,1.08,0.67,5.2,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.697e-1,-1.332,0,-1.619,0
Q12,,IRLR3410PBF,TRANSISTOR,"MOSFET,PWR,100V,17A,.105 OHM DPAK,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,BOTTOM,,,TOP_BOTTOM,0,SQUARE,4.5,SILICON,0.185,MM,4.875,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.145,0.145,2,1.5,65,GULLWING,1.295,1.2146644765635584,SINGLE_SINK,0,COPPER,4.57,0,1.25,0.15,2981.18,0.67,mm,0.762,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.0,SMT,DPAK (TO-252AA),2.29,DPAK,mm,6.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,270,1.08,0.67,5.2,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.697e-1,-1.854,0,-1.619,0
Q13,,IRLR3410PBF,TRANSISTOR,"MOSFET,PWR,100V,17A,.105 OHM DPAK,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,BOTTOM,,,TOP_BOTTOM,0,SQUARE,4.5,SILICON,0.185,MM,4.875,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.145,0.145,2,1.5,65,GULLWING,1.295,1.2146644765635584,SINGLE_SINK,0,COPPER,4.57,0,1.25,0.15,2981.18,0.67,mm,0.762,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.0,SMT,DPAK (TO-252AA),2.29,DPAK,mm,6.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,270,1.08,0.67,5.2,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.697e-1,-1.8530000000000002,0,1.671,0
Q14,,IRLR3410PBF,TRANSISTOR,"MOSFET,PWR,100V,17A,.105 OHM DPAK,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,BOTTOM,,,TOP_BOTTOM,0,SQUARE,4.5,SILICON,0.185,MM,4.875,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.145,0.145,2,1.5,65,GULLWING,1.295,1.2146644765635584,SINGLE_SINK,0,COPPER,4.57,0,1.25,0.15,2981.18,0.67,mm,0.762,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.0,SMT,DPAK (TO-252AA),2.29,DPAK,mm,6.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,90,1.08,0.67,5.2,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.697e-1,1.816,0,1.6749999999999998,0
Q15,,IRLR3410PBF,TRANSISTOR,"MOSFET,PWR,100V,17A,.105 OHM DPAK,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,BOTTOM,,,TOP_BOTTOM,0,SQUARE,4.5,SILICON,0.185,MM,4.875,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.145,0.145,2,1.5,65,GULLWING,1.295,1.2146644765635584,SINGLE_SINK,0,COPPER,4.57,0,1.25,0.15,2981.18,0.67,mm,0.762,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.0,SMT,DPAK (TO-252AA),2.29,DPAK,mm,6.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,90,1.08,0.67,5.2,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.697e-1,1.264,0,1.6729999999999998,0
Q16,,IRLR3410PBF,TRANSISTOR,"MOSFET,PWR,100V,17A,.105 OHM DPAK,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,MM,BOTTOM,,,TOP_BOTTOM,0,SQUARE,4.5,SILICON,0.185,MM,4.875,,"TRANS, NPN, SILICON, SWITCH",,,,MM,,,,,90.0,0.145,0.145,2,1.5,65,GULLWING,1.295,1.2146644765635584,SINGLE_SINK,0,COPPER,4.57,0,1.25,0.15,2981.18,0.67,mm,0.762,,in,OVERMOLD-LEADED,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.0,SMT,DPAK (TO-252AA),2.29,DPAK,mm,6.5,2.0,1.27,mm,0.75,,DEFAULT,,,,,,,,,,90,1.08,0.67,5.2,DEFAULT,LEADED MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.697e-1,1.7850000000000001,0,-1.647,0
R1,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,1.7,0
R2,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,1.5,0
R3,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,1.3,0
R4,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,1.1,0
R5,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,0.9,0
R6,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,0.7,0
R7,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,0.5,0
R8,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,0.3,0
R9,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,0.1,0
R10,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,-0.1,0
R11,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,-0.3,0
R12,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,-0.5,0
R13,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,-0.7,0
R14,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,-0.9,0
R15,,CRCW25120000Z0EG,RESISTOR,"Res, 0 OHM, 1 W, 5%, 2512,RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"RES, FIXED, GENERAL",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,6.4,SMT,2512,0.6,CC,mm,3.2,1.28,6.40,mm,3.20,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,4.485e-2,-3.1,0,-1.1,0
